name,url,types,abilities
vileplume,https://pokeapi.co/api/v2/pokemon/45/,"grass, poison","chlorophyll, effect-spore"
paras,https://pokeapi.co/api/v2/pokemon/46/,"bug, grass","effect-spore, dry-skin, damp"
parasect,https://pokeapi.co/api/v2/pokemon/47/,"bug, grass","effect-spore, dry-skin, damp"
venonat,https://pokeapi.co/api/v2/pokemon/48/,"bug, poison","compound-eyes, tinted-lens, run-away"
venomoth,https://pokeapi.co/api/v2/pokemon/49/,"bug, poison","shield-dust, tinted-lens, wonder-skin"
diglett,https://pokeapi.co/api/v2/pokemon/50/,ground,"sand-veil, arena-trap, sand-force"
dugtrio,https://pokeapi.co/api/v2/pokemon/51/,ground,"sand-veil, arena-trap, sand-force"
meowth,https://pokeapi.co/api/v2/pokemon/52/,normal,"pickup, technician, unnerve"
persian,https://pokeapi.co/api/v2/pokemon/53/,normal,"limber, technician, unnerve"
psyduck,https://pokeapi.co/api/v2/pokemon/54/,water,"damp, cloud-nine, swift-swim"
golduck,https://pokeapi.co/api/v2/pokemon/55/,water,"damp, cloud-nine, swift-swim"
mankey,https://pokeapi.co/api/v2/pokemon/56/,fighting,"vital-spirit, anger-point, defiant"
primeape,https://pokeapi.co/api/v2/pokemon/57/,fighting,"vital-spirit, anger-point, defiant"
growlithe,https://pokeapi.co/api/v2/pokemon/58/,fire,"intimidate, flash-fire, justified"
arcanine,https://pokeapi.co/api/v2/pokemon/59/,fire,"intimidate, flash-fire, justified"
poliwag,https://pokeapi.co/api/v2/pokemon/60/,water,"water-absorb, damp, swift-swim"
poliwhirl,https://pokeapi.co/api/v2/pokemon/61/,water,"water-absorb, damp, swift-swim"
poliwrath,https://pokeapi.co/api/v2/pokemon/62/,"water, fighting","water-absorb, damp, swift-swim"
abra,https://pokeapi.co/api/v2/pokemon/63/,psychic,"synchronize, inner-focus, magic-guard"
kadabra,https://pokeapi.co/api/v2/pokemon/64/,psychic,"synchronize, inner-focus, magic-guard"
alakazam,https://pokeapi.co/api/v2/pokemon/65/,psychic,"synchronize, inner-focus, magic-guard"
machop,https://pokeapi.co/api/v2/pokemon/66/,fighting,"guts, no-guard, steadfast"
machoke,https://pokeapi.co/api/v2/pokemon/67/,fighting,"guts, no-guard, steadfast"
machamp,https://pokeapi.co/api/v2/pokemon/68/,fighting,"guts, no-guard, steadfast"
bellsprout,https://pokeapi.co/api/v2/pokemon/69/,"grass, poison","chlorophyll, gluttony"
weepinbell,https://pokeapi.co/api/v2/pokemon/70/,"grass, poison","chlorophyll, gluttony"
victreebel,https://pokeapi.co/api/v2/pokemon/71/,"grass, poison","chlorophyll, gluttony"
tentacool,https://pokeapi.co/api/v2/pokemon/72/,"water, poison","clear-body, liquid-ooze, rain-dish"
tentacruel,https://pokeapi.co/api/v2/pokemon/73/,"water, poison","clear-body, liquid-ooze, rain-dish"
geodude,https://pokeapi.co/api/v2/pokemon/74/,"rock, ground","rock-head, sturdy, sand-veil"
graveler,https://pokeapi.co/api/v2/pokemon/75/,"rock, ground","rock-head, sturdy, sand-veil"
golem,https://pokeapi.co/api/v2/pokemon/76/,"rock, ground","rock-head, sturdy, sand-veil"
ponyta,https://pokeapi.co/api/v2/pokemon/77/,fire,"run-away, flash-fire, flame-body"
rapidash,https://pokeapi.co/api/v2/pokemon/78/,fire,"run-away, flash-fire, flame-body"
slowpoke,https://pokeapi.co/api/v2/pokemon/79/,"water, psychic","oblivious, own-tempo, regenerator"
slowbro,https://pokeapi.co/api/v2/pokemon/80/,"water, psychic","oblivious, own-tempo, regenerator"
magnemite,https://pokeapi.co/api/v2/pokemon/81/,"electric, steel","magnet-pull, sturdy, analytic"
magneton,https://pokeapi.co/api/v2/pokemon/82/,"electric, steel","magnet-pull, sturdy, analytic"
farfetchd,https://pokeapi.co/api/v2/pokemon/83/,"normal, flying","keen-eye, inner-focus, defiant"
doduo,https://pokeapi.co/api/v2/pokemon/84/,"normal, flying","run-away, early-bird, tangled-feet"
dodrio,https://pokeapi.co/api/v2/pokemon/85/,"normal, flying","run-away, early-bird, tangled-feet"
seel,https://pokeapi.co/api/v2/pokemon/86/,water,"thick-fat, hydration, ice-body"
dewgong,https://pokeapi.co/api/v2/pokemon/87/,"water, ice","thick-fat, hydration, ice-body"
grimer,https://pokeapi.co/api/v2/pokemon/88/,poison,"stench, sticky-hold, poison-touch"
muk,https://pokeapi.co/api/v2/pokemon/89/,poison,"stench, sticky-hold, poison-touch"
shellder,https://pokeapi.co/api/v2/pokemon/90/,water,"shell-armor, skill-link, overcoat"
cloyster,https://pokeapi.co/api/v2/pokemon/91/,"water, ice","shell-armor, skill-link, overcoat"
gastly,https://pokeapi.co/api/v2/pokemon/92/,"ghost, poison",levitate
haunter,https://pokeapi.co/api/v2/pokemon/93/,"ghost, poison",levitate
gengar,https://pokeapi.co/api/v2/pokemon/94/,"ghost, poison",cursed-body
onix,https://pokeapi.co/api/v2/pokemon/95/,"rock, ground","rock-head, sturdy, weak-armor"
drowzee,https://pokeapi.co/api/v2/pokemon/96/,psychic,"insomnia, forewarn, inner-focus"
hypno,https://pokeapi.co/api/v2/pokemon/97/,psychic,"insomnia, forewarn, inner-focus"
krabby,https://pokeapi.co/api/v2/pokemon/98/,water,"hyper-cutter, shell-armor, sheer-force"
kingler,https://pokeapi.co/api/v2/pokemon/99/,water,"hyper-cutter, shell-armor, sheer-force"
voltorb,https://pokeapi.co/api/v2/pokemon/100/,electric,"soundproof, static, aftermath"
electrode,https://pokeapi.co/api/v2/pokemon/101/,electric,"soundproof, static, aftermath"
exeggcute,https://pokeapi.co/api/v2/pokemon/102/,"grass, psychic","chlorophyll, harvest"
exeggutor,https://pokeapi.co/api/v2/pokemon/103/,"grass, psychic","chlorophyll, harvest"
cubone,https://pokeapi.co/api/v2/pokemon/104/,ground,"rock-head, lightning-rod, battle-armor"
marowak,https://pokeapi.co/api/v2/pokemon/105/,ground,"rock-head, lightning-rod, battle-armor"
hitmonlee,https://pokeapi.co/api/v2/pokemon/106/,fighting,"limber, reckless, unburden"
hitmonchan,https://pokeapi.co/api/v2/pokemon/107/,fighting,"keen-eye, iron-fist, inner-focus"
lickitung,https://pokeapi.co/api/v2/pokemon/108/,normal,"own-tempo, oblivious, cloud-nine"
koffing,https://pokeapi.co/api/v2/pokemon/109/,poison,"levitate, neutralizing-gas, stench"
weezing,https://pokeapi.co/api/v2/pokemon/110/,poison,"levitate, neutralizing-gas, stench"
rhyhorn,https://pokeapi.co/api/v2/pokemon/111/,"ground, rock","lightning-rod, rock-head, reckless"
rhydon,https://pokeapi.co/api/v2/pokemon/112/,"ground, rock","lightning-rod, rock-head, reckless"
chansey,https://pokeapi.co/api/v2/pokemon/113/,normal,"natural-cure, serene-grace, healer"
tangela,https://pokeapi.co/api/v2/pokemon/114/,grass,"chlorophyll, leaf-guard, regenerator"
kangaskhan,https://pokeapi.co/api/v2/pokemon/115/,normal,"early-bird, scrappy, inner-focus"
horsea,https://pokeapi.co/api/v2/pokemon/116/,water,"swift-swim, sniper, damp"
seadra,https://pokeapi.co/api/v2/pokemon/117/,water,"poison-point, sniper, damp"
goldeen,https://pokeapi.co/api/v2/pokemon/118/,water,"swift-swim, water-veil, lightning-rod"
seaking,https://pokeapi.co/api/v2/pokemon/119/,water,"swift-swim, water-veil, lightning-rod"
staryu,https://pokeapi.co/api/v2/pokemon/120/,water,"illuminate, natural-cure, analytic"
starmie,https://pokeapi.co/api/v2/pokemon/121/,"water, psychic","illuminate, natural-cure, analytic"
mr-mime,https://pokeapi.co/api/v2/pokemon/122/,"psychic, fairy","soundproof, filter, technician"
scyther,https://pokeapi.co/api/v2/pokemon/123/,"bug, flying","swarm, technician, steadfast"
jynx,https://pokeapi.co/api/v2/pokemon/124/,"ice, psychic","oblivious, forewarn, dry-skin"
electabuzz,https://pokeapi.co/api/v2/pokemon/125/,electric,"static, vital-spirit"
magmar,https://pokeapi.co/api/v2/pokemon/126/,fire,"flame-body, vital-spirit"
pinsir,https://pokeapi.co/api/v2/pokemon/127/,bug,"hyper-cutter, mold-breaker, moxie"
tauros,https://pokeapi.co/api/v2/pokemon/128/,normal,"intimidate, anger-point, sheer-force"
magikarp,https://pokeapi.co/api/v2/pokemon/129/,water,"swift-swim, rattled"
gyarados,https://pokeapi.co/api/v2/pokemon/130/,"water, flying","intimidate, moxie"
lapras,https://pokeapi.co/api/v2/pokemon/131/,"water, ice","water-absorb, shell-armor, hydration"
ditto,https://pokeapi.co/api/v2/pokemon/132/,normal,"limber, imposter"
eevee,https://pokeapi.co/api/v2/pokemon/133/,normal,"run-away, adaptability, anticipation"
vaporeon,https://pokeapi.co/api/v2/pokemon/134/,water,"water-absorb, hydration"
jolteon,https://pokeapi.co/api/v2/pokemon/135/,electric,"volt-absorb, quick-feet"
flareon,https://pokeapi.co/api/v2/pokemon/136/,fire,"flash-fire, guts"
porygon,https://pokeapi.co/api/v2/pokemon/137/,normal,"trace, download, analytic"
omanyte,https://pokeapi.co/api/v2/pokemon/138/,"rock, water","swift-swim, shell-armor, weak-armor"
omastar,https://pokeapi.co/api/v2/pokemon/139/,"rock, water","swift-swim, shell-armor, weak-armor"
kabuto,https://pokeapi.co/api/v2/pokemon/140/,"rock, water","swift-swim, battle-armor, weak-armor"
kabutops,https://pokeapi.co/api/v2/pokemon/141/,"rock, water","swift-swim, battle-armor, weak-armor"
aerodactyl,https://pokeapi.co/api/v2/pokemon/142/,"rock, flying","rock-head, pressure, unnerve"
snorlax,https://pokeapi.co/api/v2/pokemon/143/,normal,"immunity, thick-fat, gluttony"
articuno,https://pokeapi.co/api/v2/pokemon/144/,"ice, flying","pressure, snow-cloak"
zapdos,https://pokeapi.co/api/v2/pokemon/145/,"electric, flying","pressure, static"
moltres,https://pokeapi.co/api/v2/pokemon/146/,"fire, flying","pressure, flame-body"
dratini,https://pokeapi.co/api/v2/pokemon/147/,dragon,"shed-skin, marvel-scale"
dragonair,https://pokeapi.co/api/v2/pokemon/148/,dragon,"shed-skin, marvel-scale"
dragonite,https://pokeapi.co/api/v2/pokemon/149/,"dragon, flying","inner-focus, multiscale"
mewtwo,https://pokeapi.co/api/v2/pokemon/150/,psychic,"pressure, unnerve"
mew,https://pokeapi.co/api/v2/pokemon/151/,psychic,synchronize
chikorita,https://pokeapi.co/api/v2/pokemon/152/,grass,"overgrow, leaf-guard"
bayleef,https://pokeapi.co/api/v2/pokemon/153/,grass,"overgrow, leaf-guard"
meganium,https://pokeapi.co/api/v2/pokemon/154/,grass,"overgrow, leaf-guard"
cyndaquil,https://pokeapi.co/api/v2/pokemon/155/,fire,"blaze, flash-fire"
quilava,https://pokeapi.co/api/v2/pokemon/156/,fire,"blaze, flash-fire"
typhlosion,https://pokeapi.co/api/v2/pokemon/157/,fire,"blaze, flash-fire"
totodile,https://pokeapi.co/api/v2/pokemon/158/,water,"torrent, sheer-force"
croconaw,https://pokeapi.co/api/v2/pokemon/159/,water,"torrent, sheer-force"
feraligatr,https://pokeapi.co/api/v2/pokemon/160/,water,"torrent, sheer-force"
sentret,https://pokeapi.co/api/v2/pokemon/161/,normal,"run-away, keen-eye, frisk"
furret,https://pokeapi.co/api/v2/pokemon/162/,normal,"run-away, keen-eye, frisk"
hoothoot,https://pokeapi.co/api/v2/pokemon/163/,"normal, flying","insomnia, keen-eye, tinted-lens"
noctowl,https://pokeapi.co/api/v2/pokemon/164/,"normal, flying","insomnia, keen-eye, tinted-lens"
ledyba,https://pokeapi.co/api/v2/pokemon/165/,"bug, flying","swarm, early-bird, rattled"
ledian,https://pokeapi.co/api/v2/pokemon/166/,"bug, flying","swarm, early-bird, iron-fist"
spinarak,https://pokeapi.co/api/v2/pokemon/167/,"bug, poison","swarm, insomnia, sniper"
ariados,https://pokeapi.co/api/v2/pokemon/168/,"bug, poison","swarm, insomnia, sniper"
crobat,https://pokeapi.co/api/v2/pokemon/169/,"poison, flying","inner-focus, infiltrator"
chinchou,https://pokeapi.co/api/v2/pokemon/170/,"water, electric","volt-absorb, illuminate, water-absorb"
lanturn,https://pokeapi.co/api/v2/pokemon/171/,"water, electric","volt-absorb, illuminate, water-absorb"
pichu,https://pokeapi.co/api/v2/pokemon/172/,electric,"static, lightning-rod"
cleffa,https://pokeapi.co/api/v2/pokemon/173/,fairy,"cute-charm, magic-guard, friend-guard"
igglybuff,https://pokeapi.co/api/v2/pokemon/174/,"normal, fairy","cute-charm, competitive, friend-guard"
togepi,https://pokeapi.co/api/v2/pokemon/175/,fairy,"hustle, serene-grace, super-luck"
togetic,https://pokeapi.co/api/v2/pokemon/176/,"fairy, flying","hustle, serene-grace, super-luck"
natu,https://pokeapi.co/api/v2/pokemon/177/,"psychic, flying","synchronize, early-bird, magic-bounce"
xatu,https://pokeapi.co/api/v2/pokemon/178/,"psychic, flying","synchronize, early-bird, magic-bounce"
mareep,https://pokeapi.co/api/v2/pokemon/179/,electric,"static, plus"
flaaffy,https://pokeapi.co/api/v2/pokemon/180/,electric,"static, plus"
ampharos,https://pokeapi.co/api/v2/pokemon/181/,electric,"static, plus"
bellossom,https://pokeapi.co/api/v2/pokemon/182/,grass,"chlorophyll, healer"
marill,https://pokeapi.co/api/v2/pokemon/183/,"water, fairy","thick-fat, huge-power, sap-sipper"
azumarill,https://pokeapi.co/api/v2/pokemon/184/,"water, fairy","thick-fat, huge-power, sap-sipper"
sudowoodo,https://pokeapi.co/api/v2/pokemon/185/,rock,"sturdy, rock-head, rattled"
politoed,https://pokeapi.co/api/v2/pokemon/186/,water,"water-absorb, damp, drizzle"
hoppip,https://pokeapi.co/api/v2/pokemon/187/,"grass, flying","chlorophyll, leaf-guard, infiltrator"
skiploom,https://pokeapi.co/api/v2/pokemon/188/,"grass, flying","chlorophyll, leaf-guard, infiltrator"
jumpluff,https://pokeapi.co/api/v2/pokemon/189/,"grass, flying","chlorophyll, leaf-guard, infiltrator"
aipom,https://pokeapi.co/api/v2/pokemon/190/,normal,"run-away, pickup, skill-link"
sunkern,https://pokeapi.co/api/v2/pokemon/191/,grass,"chlorophyll, solar-power, early-bird"
sunflora,https://pokeapi.co/api/v2/pokemon/192/,grass,"chlorophyll, solar-power, early-bird"
yanma,https://pokeapi.co/api/v2/pokemon/193/,"bug, flying","speed-boost, compound-eyes, frisk"
wooper,https://pokeapi.co/api/v2/pokemon/194/,"water, ground","damp, water-absorb, unaware"
quagsire,https://pokeapi.co/api/v2/pokemon/195/,"water, ground","damp, water-absorb, unaware"
espeon,https://pokeapi.co/api/v2/pokemon/196/,psychic,"synchronize, magic-bounce"
umbreon,https://pokeapi.co/api/v2/pokemon/197/,dark,"synchronize, inner-focus"
murkrow,https://pokeapi.co/api/v2/pokemon/198/,"dark, flying","insomnia, super-luck, prankster"
slowking,https://pokeapi.co/api/v2/pokemon/199/,"water, psychic","oblivious, own-tempo, regenerator"
misdreavus,https://pokeapi.co/api/v2/pokemon/200/,ghost,levitate
unown,https://pokeapi.co/api/v2/pokemon/201/,psychic,levitate
wobbuffet,https://pokeapi.co/api/v2/pokemon/202/,psychic,"shadow-tag, telepathy"
girafarig,https://pokeapi.co/api/v2/pokemon/203/,"normal, psychic","inner-focus, early-bird, sap-sipper"
pineco,https://pokeapi.co/api/v2/pokemon/204/,bug,"sturdy, overcoat"
forretress,https://pokeapi.co/api/v2/pokemon/205/,"bug, steel","sturdy, overcoat"
dunsparce,https://pokeapi.co/api/v2/pokemon/206/,normal,"serene-grace, run-away, rattled"
gligar,https://pokeapi.co/api/v2/pokemon/207/,"ground, flying","hyper-cutter, sand-veil, immunity"
steelix,https://pokeapi.co/api/v2/pokemon/208/,"steel, ground","rock-head, sturdy, sheer-force"
snubbull,https://pokeapi.co/api/v2/pokemon/209/,fairy,"intimidate, run-away, rattled"
granbull,https://pokeapi.co/api/v2/pokemon/210/,fairy,"intimidate, quick-feet, rattled"
qwilfish,https://pokeapi.co/api/v2/pokemon/211/,"water, poison","poison-point, swift-swim, intimidate"
scizor,https://pokeapi.co/api/v2/pokemon/212/,"bug, steel","swarm, technician, light-metal"
shuckle,https://pokeapi.co/api/v2/pokemon/213/,"bug, rock","sturdy, gluttony, contrary"
heracross,https://pokeapi.co/api/v2/pokemon/214/,"bug, fighting","swarm, guts, moxie"
sneasel,https://pokeapi.co/api/v2/pokemon/215/,"dark, ice","inner-focus, keen-eye, pickpocket"
teddiursa,https://pokeapi.co/api/v2/pokemon/216/,normal,"pickup, quick-feet, honey-gather"
ursaring,https://pokeapi.co/api/v2/pokemon/217/,normal,"guts, quick-feet, unnerve"
slugma,https://pokeapi.co/api/v2/pokemon/218/,fire,"magma-armor, flame-body, weak-armor"
magcargo,https://pokeapi.co/api/v2/pokemon/219/,"fire, rock","magma-armor, flame-body, weak-armor"
swinub,https://pokeapi.co/api/v2/pokemon/220/,"ice, ground","oblivious, snow-cloak, thick-fat"
piloswine,https://pokeapi.co/api/v2/pokemon/221/,"ice, ground","oblivious, snow-cloak, thick-fat"
corsola,https://pokeapi.co/api/v2/pokemon/222/,"water, rock","hustle, natural-cure, regenerator"
remoraid,https://pokeapi.co/api/v2/pokemon/223/,water,"hustle, sniper, moody"
octillery,https://pokeapi.co/api/v2/pokemon/224/,water,"suction-cups, sniper, moody"
delibird,https://pokeapi.co/api/v2/pokemon/225/,"ice, flying","vital-spirit, hustle, insomnia"
mantine,https://pokeapi.co/api/v2/pokemon/226/,"water, flying","swift-swim, water-absorb, water-veil"
skarmory,https://pokeapi.co/api/v2/pokemon/227/,"steel, flying","keen-eye, sturdy, weak-armor"
houndour,https://pokeapi.co/api/v2/pokemon/228/,"dark, fire","early-bird, flash-fire, unnerve"
houndoom,https://pokeapi.co/api/v2/pokemon/229/,"dark, fire","early-bird, flash-fire, unnerve"
kingdra,https://pokeapi.co/api/v2/pokemon/230/,"water, dragon","swift-swim, sniper, damp"
phanpy,https://pokeapi.co/api/v2/pokemon/231/,ground,"pickup, sand-veil"
donphan,https://pokeapi.co/api/v2/pokemon/232/,ground,"sturdy, sand-veil"
porygon2,https://pokeapi.co/api/v2/pokemon/233/,normal,"trace, download, analytic"
stantler,https://pokeapi.co/api/v2/pokemon/234/,normal,"intimidate, frisk, sap-sipper"
smeargle,https://pokeapi.co/api/v2/pokemon/235/,normal,"own-tempo, technician, moody"
tyrogue,https://pokeapi.co/api/v2/pokemon/236/,fighting,"guts, steadfast, vital-spirit"
hitmontop,https://pokeapi.co/api/v2/pokemon/237/,fighting,"intimidate, technician, steadfast"
smoochum,https://pokeapi.co/api/v2/pokemon/238/,"ice, psychic","oblivious, forewarn, hydration"
elekid,https://pokeapi.co/api/v2/pokemon/239/,electric,"static, vital-spirit"
magby,https://pokeapi.co/api/v2/pokemon/240/,fire,"flame-body, vital-spirit"
miltank,https://pokeapi.co/api/v2/pokemon/241/,normal,"thick-fat, scrappy, sap-sipper"
blissey,https://pokeapi.co/api/v2/pokemon/242/,normal,"natural-cure, serene-grace, healer"
raikou,https://pokeapi.co/api/v2/pokemon/243/,electric,"pressure, inner-focus"
entei,https://pokeapi.co/api/v2/pokemon/244/,fire,"pressure, inner-focus"
suicune,https://pokeapi.co/api/v2/pokemon/245/,water,"pressure, inner-focus"
larvitar,https://pokeapi.co/api/v2/pokemon/246/,"rock, ground","guts, sand-veil"
pupitar,https://pokeapi.co/api/v2/pokemon/247/,"rock, ground",shed-skin
tyranitar,https://pokeapi.co/api/v2/pokemon/248/,"rock, dark","sand-stream, unnerve"
lugia,https://pokeapi.co/api/v2/pokemon/249/,"psychic, flying","pressure, multiscale"
ho-oh,https://pokeapi.co/api/v2/pokemon/250/,"fire, flying","pressure, regenerator"
celebi,https://pokeapi.co/api/v2/pokemon/251/,"psychic, grass",natural-cure
treecko,https://pokeapi.co/api/v2/pokemon/252/,grass,"overgrow, unburden"
grovyle,https://pokeapi.co/api/v2/pokemon/253/,grass,"overgrow, unburden"
sceptile,https://pokeapi.co/api/v2/pokemon/254/,grass,"overgrow, unburden"
torchic,https://pokeapi.co/api/v2/pokemon/255/,fire,"blaze, speed-boost"
combusken,https://pokeapi.co/api/v2/pokemon/256/,"fire, fighting","blaze, speed-boost"
blaziken,https://pokeapi.co/api/v2/pokemon/257/,"fire, fighting","blaze, speed-boost"
mudkip,https://pokeapi.co/api/v2/pokemon/258/,water,"torrent, damp"
marshtomp,https://pokeapi.co/api/v2/pokemon/259/,"water, ground","torrent, damp"
swampert,https://pokeapi.co/api/v2/pokemon/260/,"water, ground","torrent, damp"
poochyena,https://pokeapi.co/api/v2/pokemon/261/,dark,"run-away, quick-feet, rattled"
mightyena,https://pokeapi.co/api/v2/pokemon/262/,dark,"intimidate, quick-feet, moxie"
zigzagoon,https://pokeapi.co/api/v2/pokemon/263/,normal,"pickup, gluttony, quick-feet"
linoone,https://pokeapi.co/api/v2/pokemon/264/,normal,"pickup, gluttony, quick-feet"
wurmple,https://pokeapi.co/api/v2/pokemon/265/,bug,"shield-dust, run-away"
silcoon,https://pokeapi.co/api/v2/pokemon/266/,bug,shed-skin
beautifly,https://pokeapi.co/api/v2/pokemon/267/,"bug, flying","swarm, rivalry"
cascoon,https://pokeapi.co/api/v2/pokemon/268/,bug,shed-skin
dustox,https://pokeapi.co/api/v2/pokemon/269/,"bug, poison","shield-dust, compound-eyes"
lotad,https://pokeapi.co/api/v2/pokemon/270/,"water, grass","swift-swim, rain-dish, own-tempo"
lombre,https://pokeapi.co/api/v2/pokemon/271/,"water, grass","swift-swim, rain-dish, own-tempo"
ludicolo,https://pokeapi.co/api/v2/pokemon/272/,"water, grass","swift-swim, rain-dish, own-tempo"
seedot,https://pokeapi.co/api/v2/pokemon/273/,grass,"chlorophyll, early-bird, pickpocket"
nuzleaf,https://pokeapi.co/api/v2/pokemon/274/,"grass, dark","chlorophyll, early-bird, pickpocket"
shiftry,https://pokeapi.co/api/v2/pokemon/275/,"grass, dark","chlorophyll, wind-rider, pickpocket"
taillow,https://pokeapi.co/api/v2/pokemon/276/,"normal, flying","guts, scrappy"
swellow,https://pokeapi.co/api/v2/pokemon/277/,"normal, flying","guts, scrappy"
wingull,https://pokeapi.co/api/v2/pokemon/278/,"water, flying","keen-eye, hydration, rain-dish"
pelipper,https://pokeapi.co/api/v2/pokemon/279/,"water, flying","keen-eye, drizzle, rain-dish"
ralts,https://pokeapi.co/api/v2/pokemon/280/,"psychic, fairy","synchronize, trace, telepathy"
kirlia,https://pokeapi.co/api/v2/pokemon/281/,"psychic, fairy","synchronize, trace, telepathy"
gardevoir,https://pokeapi.co/api/v2/pokemon/282/,"psychic, fairy","synchronize, trace, telepathy"
surskit,https://pokeapi.co/api/v2/pokemon/283/,"bug, water","swift-swim, rain-dish"
masquerain,https://pokeapi.co/api/v2/pokemon/284/,"bug, flying","intimidate, unnerve"
shroomish,https://pokeapi.co/api/v2/pokemon/285/,grass,"effect-spore, poison-heal, quick-feet"
breloom,https://pokeapi.co/api/v2/pokemon/286/,"grass, fighting","effect-spore, poison-heal, technician"
slakoth,https://pokeapi.co/api/v2/pokemon/287/,normal,truant
vigoroth,https://pokeapi.co/api/v2/pokemon/288/,normal,vital-spirit
slaking,https://pokeapi.co/api/v2/pokemon/289/,normal,truant
nincada,https://pokeapi.co/api/v2/pokemon/290/,"bug, ground","compound-eyes, run-away"
ninjask,https://pokeapi.co/api/v2/pokemon/291/,"bug, flying","speed-boost, infiltrator"
shedinja,https://pokeapi.co/api/v2/pokemon/292/,"bug, ghost",wonder-guard
whismur,https://pokeapi.co/api/v2/pokemon/293/,normal,"soundproof, rattled"
loudred,https://pokeapi.co/api/v2/pokemon/294/,normal,"soundproof, scrappy"
exploud,https://pokeapi.co/api/v2/pokemon/295/,normal,"soundproof, scrappy"
