Observacion,clase,cap-shape,cap-surface,cap-color,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,bruises
37,edible,convex,scaly,yellow,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,solitary,paths,Presenta
38,edible,convex,fibrous,brown,null,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,solitary,urban,No presenta
39,poisonous,convex,scaly,white,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,grasses,Presenta
40,edible,convex,smooth,yellow,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,meadows,Presenta
41,edible,convex,scaly,white,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,grasses,Presenta
42,edible,convex,scaly,yellow,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,meadows,Presenta
46,edible,convex,scaly,brown,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
47,edible,convex,smooth,white,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
48,edible,bell,smooth,white,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,meadows,Presenta
51,edible,flat,fibrous,green,null,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
52,edible,bell,smooth,white,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,grasses,Presenta
53,edible,convex,smooth,yellow,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,grasses,Presenta
54,edible,convex,scaly,brown,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,solitary,paths,Presenta
55,edible,sunken,fibrous,green,null,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,urban,No presenta
56,edible,bell,scaly,yellow,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,meadows,Presenta
57,edible,bell,smooth,yellow,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,meadows,Presenta
59,edible,bell,scaly,white,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
60,edible,flat,smooth,brown,null,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
61,edible,convex,smooth,white,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
63,edible,convex,scaly,yellow,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,grasses,Presenta
64,edible,convex,fibrous,green,null,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,urban,No presenta
68,edible,convex,scaly,brown,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,scattered,paths,Presenta
69,edible,bell,smooth,yellow,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
71,edible,convex,smooth,white,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white.,partial,white,one,pendant,purple,several,wood,Presenta
72,edible,flat,scaly,brown,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,brown,solitary,paths,Presenta
73,poisonous,convex,scaly,brown,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,urban,Presenta
74,edible,flat,scaly,brown,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,brown,solitary,grasses,Presenta
75,edible,convex,smooth,brown,null,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
77,edible,flat,fibrous,green,null,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,solitary,urban,No presenta
78,edible,convex,fibrous,green,null,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
79,edible,convex,scaly,yellow,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
80,edible,convex,smooth,brown,null,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
81,edible,bell,smooth,white,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
83,edible,flat,scaly,brown,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,solitary,grasses,Presenta
84,edible,sunken,fibrous,brown,null,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,urban,No presenta
85,edible,convex,fibrous,brown,null,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,solitary,urban,No presenta
86,edible,bell,smooth,white,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
87,edible,convex,scaly,yellow,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
88,edible,convex,scaly,yellow,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,meadows,Presenta
89,edible,convex,smooth,brown,null,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
92,edible,convex,smooth,yellow,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,grasses,Presenta
93,edible,bell,smooth,white,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
94,edible,convex,scaly,white,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
95,edible,convex,fibrous,brown,null,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
96,edible,bell,smooth,yellow,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,grasses,Presenta
99,edible,bell,scaly,white,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,grasses,Presenta
100,edible,convex,scaly,yellow,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,meadows,Presenta
101,edible,convex,scaly,yellow,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,brown,solitary,grasses,Presenta
102,edible,bell,scaly,white,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,meadows,Presenta
103,edible,bell,scaly,white,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,meadows,Presenta
104,edible,convex,smooth,yellow,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,meadows,Presenta
105,edible,convex,smooth,yellow,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,grasses,Presenta
106,edible,sunken,fibrous,green,null,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,solitary,urban,No presenta
109,edible,convex,scaly,yellow,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
110,edible,sunken,fibrous,green,null,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,solitary,urban,No presenta
111,edible,convex,scaly,yellow,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,solitary,grasses,Presenta
113,edible,sunken,fibrous,brown,null,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,solitary,urban,No presenta
115,poisonous,flat,scaly,brown,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,several,grasses,Presenta
116,edible,flat,smooth,green,null,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
118,edible,convex,smooth,white,null,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
119,edible,bell,smooth,yellow,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,grasses,Presenta
120,edible,flat,fibrous,green,null,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
122,edible,bell,smooth,white,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,meadows,Presenta
124,edible,bell,scaly,white,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,meadows,Presenta
125,edible,flat,smooth,white,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white.,partial,white,one,pendant,purple,several,wood,Presenta
128,poisonous,convex,scaly,white,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,urban,Presenta
132,edible,bell,smooth,yellow,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,grasses,Presenta
133,edible,convex,scaly,brown,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,solitary,paths,Presenta
134,edible,bell,scaly,yellow,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,meadows,Presenta
135,edible,sunken,fibrous,brown,null,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,urban,No presenta
136,edible,flat,scaly,brown,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,solitary,paths,Presenta
137,edible,convex,scaly,yellow,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,grasses,Presenta
138,edible,convex,fibrous,green,null,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
140,edible,convex,scaly,yellow,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,meadows,Presenta
142,edible,bell,scaly,white,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,meadows,Presenta
143,edible,convex,scaly,white,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
144,edible,convex,smooth,brown,null,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
145,edible,convex,scaly,white,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
146,edible,sunken,fibrous,brown,null,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,several,urban,No presenta
148,edible,convex,scaly,brown,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
149,edible,bell,scaly,yellow,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,grasses,Presenta
150,edible,convex,scaly,white,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,grasses,Presenta
151,edible,bell,scaly,white,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,meadows,Presenta
152,edible,bell,smooth,yellow,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
154,edible,bell,scaly,yellow,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,grasses,Presenta
155,edible,convex,fibrous,brown,null,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,solitary,urban,No presenta
156,edible,flat,scaly,brown,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,brown,solitary,grasses,Presenta
157,edible,convex,scaly,white,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
159,edible,bell,smooth,white,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
160,edible,bell,smooth,white,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,meadows,Presenta
161,edible,convex,scaly,brown,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,solitary,grasses,Presenta
164,edible,bell,smooth,yellow,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
166,edible,bell,scaly,yellow,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
167,edible,flat,scaly,yellow,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
168,edible,bell,scaly,white,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,meadows,Presenta
169,edible,bell,scaly,white,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,meadows,Presenta
170,edible,bell,scaly,yellow,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
171,edible,convex,scaly,yellow,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,meadows,Presenta
173,poisonous,convex,scaly,white,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,urban,Presenta
174,edible,sunken,fibrous,brown,null,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,solitary,urban,No presenta
175,edible,flat,fibrous,brown,null,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,several,urban,No presenta
177,edible,flat,scaly,brown,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,scattered,paths,Presenta
178,poisonous,convex,scaly,white,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
179,edible,bell,smooth,white,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,meadows,Presenta
180,edible,flat,fibrous,green,null,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,several,urban,No presenta
182,edible,convex,scaly,brown,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,brown,solitary,paths,Presenta
183,edible,convex,fibrous,white,null,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
185,edible,bell,smooth,white,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,meadows,Presenta
186,edible,flat,smooth,yellow,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,wood,Presenta
187,edible,convex,smooth,yellow,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,meadows,Presenta
190,edible,convex,smooth,white,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,meadows,Presenta
191,edible,convex,scaly,white,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,meadows,Presenta
193,edible,convex,scaly,yellow,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
194,edible,bell,smooth,white,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
195,edible,convex,smooth,white,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,grasses,Presenta
196,edible,convex,fibrous,white,null,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
197,edible,flat,scaly,brown,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,solitary,paths,Presenta
198,poisonous,convex,smooth,white,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,urban,Presenta
201,edible,bell,scaly,white,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,grasses,Presenta
203,edible,convex,smooth,yellow,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
204,edible,bell,smooth,white,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,meadows,Presenta
205,edible,convex,fibrous,yellow,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,wood,Presenta
206,edible,convex,fibrous,green,null,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,solitary,urban,No presenta
208,edible,bell,smooth,white,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,meadows,Presenta
210,edible,convex,scaly,yellow,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
211,edible,convex,scaly,white,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
212,edible,sunken,fibrous,green,null,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,urban,No presenta
214,poisonous,convex,smooth,white,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
216,edible,flat,fibrous,white,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,wood,Presenta
217,edible,convex,scaly,white,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,meadows,Presenta
218,edible,bell,scaly,white,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
219,edible,convex,smooth,white,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,grasses,Presenta
220,edible,convex,smooth,yellow,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
221,poisonous,convex,scaly,brown,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,several,urban,Presenta
222,edible,bell,smooth,yellow,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,grasses,Presenta
223,edible,convex,fibrous,green,null,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,solitary,urban,No presenta
224,poisonous,convex,scaly,white,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,urban,Presenta
225,edible,convex,scaly,yellow,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,brown,solitary,paths,Presenta
228,edible,convex,fibrous,white,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,wood,Presenta
229,edible,convex,scaly,white,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
232,edible,flat,scaly,yellow,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,scattered,paths,Presenta
233,edible,flat,scaly,yellow,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,solitary,paths,Presenta
236,edible,flat,fibrous,white,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white.,partial,white,one,pendant,purple,several,wood,Presenta
237,edible,convex,smooth,white,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
238,edible,convex,smooth,white,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white.,partial,white,one,pendant,purple,several,wood,Presenta
239,edible,convex,scaly,white,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,meadows,Presenta
240,edible,flat,scaly,yellow,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,solitary,paths,Presenta
243,poisonous,convex,smooth,brown,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
244,edible,sunken,fibrous,brown,null,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,urban,No presenta
245,edible,bell,scaly,yellow,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,meadows,Presenta
246,edible,bell,smooth,white,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
247,edible,bell,scaly,white,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,meadows,Presenta
248,edible,flat,fibrous,brown,null,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,urban,No presenta
249,edible,convex,smooth,white,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,meadows,Presenta
250,edible,bell,scaly,white,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,grasses,Presenta
